path,label,id,generator
/workspace/wildfake_eval/coco/coco2017/val2017/img158957.jpg,0,coco-158849,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158958.jpg,0,coco-158850,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158959.jpg,0,coco-158851,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158960.jpg,0,coco-158852,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158961.jpg,0,coco-158853,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158962.jpg,0,coco-158854,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158963.jpg,0,coco-158855,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158964.jpg,0,coco-158856,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158965.jpg,0,coco-158857,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158966.jpg,0,coco-158858,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158967.jpg,0,coco-158859,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158968.jpg,0,coco-158860,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158969.jpg,0,coco-158861,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158970.jpg,0,coco-158862,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158971.jpg,0,coco-158863,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158972.jpg,0,coco-158864,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158973.jpg,0,coco-158865,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158974.jpg,0,coco-158866,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158975.jpg,0,coco-158867,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158976.jpg,0,coco-158868,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158977.jpg,0,coco-158869,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158978.jpg,0,coco-158870,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158979.jpg,0,coco-158871,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158980.jpg,0,coco-158872,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158981.jpg,0,coco-158873,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158982.jpg,0,coco-158874,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158983.jpg,0,coco-158875,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158984.jpg,0,coco-158876,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158985.jpg,0,coco-158877,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158986.jpg,0,coco-158878,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158987.jpg,0,coco-158879,COCO-val2017
/workspace/wildfake_eval/coco/coco2017/val2017/img158988.jpg,0,coco-158880,COCO-val2017
